idx1,idx2,Lat,Lon,Label,Name
1,1,37.74,45.0,15,other_land
2,1,38.05,44.6,15,other_land
3,1,38.37,44.19,15,other_land
4,1,38.68,43.77,15,other_land
5,1,39.0,43.35,15,other_land
6,1,39.31,42.93,15,other_land
7,1,39.62,42.5,15,other_land
8,1,39.92,42.06,15,other_land
9,1,40.23,41.61,15,other_land
10,1,40.53,41.16,15,other_land
11,1,40.83,40.71,15,other_land
12,1,41.13,40.24,14,other_sea
13,1,41.43,39.77,14,other_sea
14,1,41.73,39.3,14,other_sea
15,1,42.02,38.81,14,other_sea
16,1,42.31,38.32,14,other_sea
17,1,42.6,37.83,14,other_sea
18,1,42.88,37.33,14,other_sea
19,1,43.16,36.82,14,other_sea
20,1,43.44,36.3,14,other_sea
21,1,43.72,35.78,14,other_sea
22,1,43.99,35.25,14,other_sea
23,1,44.27,34.71,14,other_sea
24,1,44.53,34.16,15,other_land
25,1,44.8,33.61,15,other_land
26,1,45.06,33.05,14,other_sea
27,1,45.32,32.49,14,other_sea
28,1,45.57,31.92,14,other_sea
29,1,45.82,31.34,14,other_sea
30,1,46.07,30.75,14,other_sea
31,1,46.31,30.15,14,other_sea
32,1,46.55,29.55,15,other_land
33,1,46.78,28.94,15,other_land
34,1,47.02,28.32,15,other_land
35,1,47.24,27.7,15,other_land
36,1,47.46,27.07,15,other_land
37,1,47.68,26.43,15,other_land
38,1,47.89,25.79,15,other_land
39,1,48.1,25.13,15,other_land
40,1,48.31,24.47,15,other_land
41,1,48.51,23.81,15,other_land
42,1,48.7,23.13,15,other_land
43,1,48.89,22.45,15,other_land
44,1,49.07,21.77,15,other_land
45,1,49.25,21.07,15,other_land
46,1,49.42,20.37,15,other_land
47,1,49.59,19.67,15,other_land
48,1,49.75,18.95,15,other_land
49,1,49.91,18.23,15,other_land
50,1,50.06,17.51,15,other_land
51,1,50.21,16.78,15,other_land
52,1,50.34,16.04,15,other_land
53,1,50.48,15.3,15,other_land
54,1,50.6,14.55,15,other_land
55,1,50.73,13.8,15,other_land
56,1,50.84,13.04,15,other_land
57,1,50.95,12.28,15,other_land
58,1,51.05,11.52,15,other_land
59,1,51.15,10.74,15,other_land
60,1,51.23,9.97,15,other_land
61,1,51.32,9.19,15,other_land
62,1,51.39,8.41,15,other_land
63,1,51.46,7.63,15,other_land
64,1,51.52,6.84,15,other_land
65,1,51.58,6.05,15,other_land
66,1,51.63,5.25,15,other_land
67,1,51.67,4.46,15,other_land
68,1,51.71,3.66,14,other_sea
69,1,51.73,2.87,14,other_sea
70,1,51.76,2.07,14,other_sea
71,1,51.77,1.27,14,other_sea
72,1,51.78,0.47,15,other_land
73,1,51.78,-0.33,15,other_land
74,1,51.77,-1.13,15,other_land
75,1,51.76,-1.93,15,other_land
76,1,51.74,-2.73,15,other_land
77,1,51.71,-3.53,15,other_land
78,1,51.68,-4.33,15,other_land
79,1,51.64,-5.12,14,other_sea
80,1,51.59,-5.92,14,other_sea
81,1,51.53,-6.71,14,other_sea
82,1,51.47,-7.49,14,other_sea
83,1,51.4,-8.28,14,other_sea
84,1,51.33,-9.06,14,other_sea
85,1,51.25,-9.84,14,other_sea
86,1,51.16,-10.62,14,other_sea
87,1,51.07,-11.39,14,other_sea
88,1,50.97,-12.15,14,other_sea
89,1,50.86,-12.92,14,other_sea
90,1,50.75,-13.67,14,other_sea
91,1,50.63,-14.43,14,other_sea
92,1,50.5,-15.18,14,other_sea
93,1,50.37,-15.92,14,other_sea
94,1,50.23,-16.66,14,other_sea
95,1,50.09,-17.39,14,other_sea
96,1,49.94,-18.11,14,other_sea
97,1,49.78,-18.83,14,other_sea
98,1,49.62,-19.55,14,other_sea
99,1,49.45,-20.26,14,other_sea
